timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec	object_recognition_%
2026-06-17 12:59:55	1	Lab_A	22.7	40.3	0.1341	0.1341	92.36
2026-06-17 12:59:55	2	Lab_A	66.2	40.3	0.0335	0.0335	92.68
2026-06-17 12:59:55	3	Lab_A	76.8	40.3	0.0333	0.0333	93.63
2026-06-17 12:59:55	4	Lab_A	79.2	40.3	0.0348	0.0348	92.24
2026-06-17 12:59:55	5	Lab_A	70.2	40.3	0.0319	0.0319	93.41
2026-06-17 12:59:55	6	Lab_A	72.7	40.3	0.0366	0.0366	93.12
2026-06-17 12:59:55	7	Lab_A	74.1	40.3	0.0341	0.0341	93.36
2026-06-17 12:59:55	8	Lab_A	71.9	40.3	0.0343	0.0343	92.54
2026-06-17 12:59:55	9	Lab_A	72.2	40.3	0.0327	0.0327	92.60
2026-06-17 12:59:55	10	Lab_A	74.5	40.4	0.0323	0.0323	93.04
2026-06-17 12:59:55	11	Lab_A	72.4	40.4	0.0340	0.0340	93.37
2026-06-17 12:59:55	12	Lab_A	69.0	40.4	0.0327	0.0327	92.28
2026-06-17 12:59:56	13	Lab_A	72.1	40.4	0.0348	0.0348	90.65
2026-06-17 12:59:56	14	Lab_A	69.1	40.6	0.0334	0.0334	93.32
2026-06-17 12:59:56	15	Lab_A	68.4	40.6	0.0334	0.0334	92.36
2026-06-17 12:59:56	16	Lab_A	72.4	40.6	0.0335	0.0335	93.32
2026-06-17 12:59:56	17	Lab_A	75.0	40.6	0.0340	0.0340	92.40
2026-06-17 12:59:56	18	Lab_A	73.2	40.5	0.0329	0.0329	92.30
2026-06-17 12:59:56	19	Lab_A	72.4	40.5	0.0346	0.0346	93.24
2026-06-17 12:59:56	20	Lab_A	70.9	40.5	0.0342	0.0342	93.35
2026-06-17 12:59:56	21	Lab_A	73.2	40.6	0.0323	0.0323	91.83
2026-06-17 12:59:56	22	Lab_A	74.1	40.6	0.0335	0.0335	93.26
2026-06-17 12:59:56	23	Lab_A	72.2	40.6	0.0328	0.0328	92.96
2026-06-17 12:59:56	24	Lab_A	70.9	40.6	0.0326	0.0326	92.96
2026-06-17 12:59:56	25	Lab_A	70.2	40.6	0.0337	0.0337	92.72
2026-06-17 12:59:56	26	Lab_A	73.6	40.6	0.0319	0.0319	93.06
2026-06-17 12:59:56	27	Lab_A	71.4	40.6	0.0319	0.0319	92.66
2026-06-17 12:59:56	28	Lab_A	76.8	40.6	0.0332	0.0332	92.59
2026-06-17 12:59:56	29	Lab_A	72.2	40.5	0.0334	0.0334	92.47
2026-06-17 12:59:56	30	Lab_A	67.2	40.6	0.0318	0.0318	93.49
2026-06-17 12:59:56	31	Lab_A	72.4	40.6	0.0341	0.0341	93.05
2026-06-17 12:59:56	32	Lab_A	69.8	40.6	0.0317	0.0317	91.76
2026-06-17 12:59:56	33	Lab_A	72.2	40.5	0.0324	0.0324	93.51
2026-06-17 12:59:56	34	Lab_A	72.2	40.6	0.0328	0.0328	93.22
2026-06-17 12:59:57	35	Lab_A	69.8	40.6	0.0318	0.0318	92.63
2026-06-17 12:59:57	36	Lab_A	71.4	40.6	0.0317	0.0317	92.58
2026-06-17 12:59:57	37	Lab_A	70.4	40.6	0.0320	0.0320	92.66
2026-06-17 12:59:57	38	Lab_A	70.7	40.6	0.0342	0.0342	92.77
2026-06-17 12:59:57	39	Lab_A	77.6	40.7	0.0343	0.0343	92.52
2026-06-17 12:59:57	40	Lab_A	70.2	40.7	0.0340	0.0340	92.81
2026-06-17 12:59:57	41	Lab_A	73.3	40.7	0.0343	0.0343	93.06
2026-06-17 12:59:57	42	Lab_A	74.5	40.7	0.0338	0.0338	92.77
2026-06-17 12:59:57	43	Lab_A	73.2	40.6	0.0328	0.0328	92.90
2026-06-17 12:59:57	44	Lab_A	69.6	40.6	0.0324	0.0324	92.45
2026-06-17 12:59:57	45	Lab_A	71.9	40.6	0.0344	0.0344	92.19
2026-06-17 12:59:57	46	Lab_A	71.4	40.6	0.0329	0.0329	92.68
2026-06-17 12:59:57	47	Lab_A	72.7	40.5	0.0331	0.0331	92.85
2026-06-17 12:59:57	48	Lab_A	70.4	40.5	0.0328	0.0328	92.32
2026-06-17 12:59:57	49	Lab_A	71.4	40.5	0.0334	0.0334	92.64
2026-06-17 12:59:57	50	Lab_A	71.4	40.5	0.0328	0.0328	92.19
