timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
11:14:07	1	bedroom	14.3	19.1	36.501	0.939
11:15:43	2	bedroom	14.4	19.1	70.503	1.284
11:17:52	3	bedroom	13.8	19.2	69.503	2.117
11:18:55	4	bedroom	13	19.1	34.003	0.846
11:20:18	5	bedroom	13.6	19.2	60.002	3.492
11:21:23	6	bedroom	13.3	19.1	41.501	1.753
11:25:28	7	bedroom	14.5	19.5	64.503	4.681
11:26:25	8	bedroom	13.5	19.5	31.002	0.928
11:29:01	9	bedroom	13.7	19.5	104.005	2.874
11:32:06	10	bedroom	13.4	19.5	16.064	5.326
12:54:30	11	bedroom	13.6	17.7	129.003	0.714
12:57:20	12	bedroom	14.4	17.7	149.002	1.962
13:02:52	13	bedroom	13.9	17.6	3.524	6.148
13:07:56	14	bedroom	14.6	25.6	120.502	2.531
13:17:55	15	bedroom	12.9	25.5	76.502	13.948
13:20:15	16	bedroom	13.7	26	37.003	3.847
13:21:35	17	bedroom	13.5	26.1	56.001	1.284
13:22:48	18	bedroom	13.4	26.2	50	7.213
13:24:15	19	bedroom	13.7	26.2	64.001	2.744
13:25:54	20	bedroom	13.8	26.3	63.004	4.983
13:27:00	21	bedroom	13.9	26.4	46.001	1.856
13:28:21	22	bedroom	13.7	26.5	60.002	8.417
13:31:03	23	bedroom	14.2	26.5	141.502	3.165
13:36:25	24	bedroom	13.5	26.4	117.008	5.724
13:39:32	25	bedroom	13.1	26.3	19.501	1.093
13:40:54	26	bedroom	13.5	26.3	59.002	9.638
13:44:20	27	bedroom	13.8	26.7	65	2.481
13:46:14	28	bedroom	13.6	26.8	44.502	4.217
13:48:08	29	bedroom	13.4	26.5	93.003	10.274
13:49:36	30	bedroom	14	26.6	62.5	1.648
13:51:05	31	bedroom	13.3	26.7	66.031	3.792
13:52:45	32	bedroom	13.5	26.8	66.502	6.531
13:54:06	33	bedroom	13.4	26.9	61.055	2.237
13:56:07	34	bedroom	12.8	26.8	73.503	11.382
15:16:22	35	bedroom	13.6	27.4	160.003	0.671
15:18:12	36	bedroom	13.3	27.4	88.004	1.527
15:19:12	37	bedroom	13.6	29	35.532	12.146
15:21:19	38	bedroom	11.5	27.8	98.502	2.884
15:22:30	39	bedroom	13.4	27.8	48.505	5.063
15:23:59	40	bedroom	12.8	27.7	67.006	7.842
15:24:56	41	bedroom	13.2	27.7	31.5	1.934
15:26:35	42	bedroom	13.5	27.8	77.029	13.271
15:27:29	43	bedroom	13	27.9	32.514	2.645
15:28:24	44	bedroom	12.8	27.8	34	4.382
15:51:01	45	bedroom	13.2	28.4	105.002	0.968
15:52:21	46	bedroom	13.6	28.7	53.502	8.925
15:54:46	47	bedroom	13.2	28.5	65.501	3.418
15:58:04	48	bedroom	13.3	28.4	23.004	6.217
15:59:18	49	bedroom	13.5	28.9	52.5	2.103
16:01:25	50	bedroom	11.2	29.2	26.501	11.794
