timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
9:15:09	1	living room	11.5	25.2	14.501	0.802
9:15:37	2	living room	11.9	25.5	15.002	0.918
9:16:30	3	living room	11.7	25.5	15.499	1.043
9:17:01	4	living room	12.3	25.5	16.001	0.867
9:17:54	5	living room	9.8	25.5	14.503	1.156
9:18:21	6	living room	9.8	25.5	12.533	0.984
9:19:11	7	living room	10.4	25.4	15.5	0.831
9:19:46	8	living room	10	25.5	15.5	1.107
9:20:16	9	living room	9.6	25.5	15.002	0.895
9:20:57	10	living room	9.7	25.5	17.593	1.021
9:21:56	11	living room	10.1	25.5	12.502	0.846
9:22:43	12	living room	9.2	25.5	15.001	1.173
9:23:12	13	living room	9.4	25.4	14.544	0.932
9:23:49	14	living room	9.4	25.4	16	1.084
9:24:20	15	living room	9.1	25.4	15.503	0.879
9:24:58	16	living room	9	25.4	15.553	1.142
9:25:27	17	living room	9.3	25.4	13.001	0.954
9:25:58	18	living room	9.9	25.5	15.503	0.821
9:26:43	19	living room	9.5	25.4	30.003	1.095
9:27:41	20	living room	9.5	25.4	16.064	0.903
9:28:12	21	living room	9.8	25.5	16.553	1.064
9:28:49	22	living room	14.2	25.4	15.504	0.857
9:30:15	23	living room	12	25.4	17.004	1.128
9:30:45	24	living room	11.4	25.4	15.004	0.976
9:31:16	25	living room	11.3	25.5	16.005	0.814
9:32:04	26	living room	11.3	25.4	16.501	1.181
9:33:23	27	living room	11.1	25.4	16.084	0.941
9:33:59	28	living room	11.7	25.4	15.002	1.052
9:34:53	29	living room	12.4	25.4	17.503	0.888
9:35:28	30	living room	11.2	25.4	15.004	1.117
9:36:59	31	living room	11.6	25.4	33.002	0.962
9:37:42	32	living room	11.4	25.5	16.544	0.835
9:38:29	33	living room	11.2	25.5	14.526	1.073
9:39:09	34	living room	11.5	25.5	16.501	0.924
9:39:40	35	living room	11.7	25.5	15.503	1.198
9:40:24	36	living room	11.2	25.4	15.003	0.871
9:41:03	37	living room	11.4	25.5	16.001	1.034
9:41:39	38	living room	11.2	25.5	15.001	0.906
9:42:09	39	living room	11.1	25.5	15.064	1.154
9:42:40	40	living room	11.5	25.4	16.084	0.843
9:43:10	41	living room	11.3	25.4	15.503	1.089
9:43:41	42	living room	11.5	25.4	15.583	0.957
9:44:21	43	living room	13.7	25.4	17.534	0.812
9:44:54	44	living room	14	25.4	18.5	1.136
9:45:36	45	living room	14	25.4	19.004	0.891
9:46:11	46	living room	14	25.4	19.003	1.062
9:47:02	47	living room	13.9	25.4	19.004	0.948
9:47:34	48	living room	14.2	25.4	17.001	0.826
9:48:24	49	living room	13.5	25.5	13.503	1.105
9:49:15	50	living room	14.2	25.5	16.502	0.937
