timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
16:37:58	1	study	12.4	25.5	21.563	0.845
16:38:31	2	study	13.2	24.9	20.5	0
16:39:06	3	study	13.6	24.9	20.001	0
16:39:43	4	study	13	25	22.502	0
16:40:28	5	study	13.7	24.9	23.001	0
16:41:02	6	study	13.5	25	20.502	0
16:41:44	7	study	12.4	25.2	20.013	0
09:31:02	8	study	9.9	18.1	28.002	0.842
09:31:41	9	study	12.7	18.7	24.012	0
09:32:24	10	study	8.9	18.2	22.502	0
09:32:58	11	study	9.4	18.2	21.501	0
09:33:42	12	study	9.4	18.3	20.002	0
09:34:17	13	study	10.1	18.2	22	0
09:34:52	14	study	9.8	18.2	22.001	0
09:35:37	15	study	9.3	18.2	31.004	0
09:36:13	16	study	9.4	18.2	22	0
09:36:50	17	study	9.2	18.2	25.003	0
09:37:26	18	study	9.5	18.2	23.503	0
09:38:19	19	study	9.3	18.2	38.001	0
09:38:54	20	study	9.1	18.1	22.501	0
09:39:27	21	study	9.8	18.1	20.503	0
09:40:00	22	study	9.4	18.2	19.5	0
09:40:34	23	study	9.6	18.1	20.564	0
09:41:15	24	study	10	18.2	28.505	0
09:41:51	25	study	9.5	18.2	19.001	0
09:42:23	26	study	9.8	18.3	20.004	0
09:42:57	27	study	9.8	18.3	20.503	0
09:43:53	28	study	9.2	18.2	43.505	0
09:44:56	29	study	9.3	18.3	49.503	0
09:45:36	30	study	9.7	18.3	27.504	0
09:46:33	31	study	9.4	18.2	43.004	0
09:47:26	32	study	9.5	18.2	38.504	0
09:48:31	33	study	12.9	18.3	41.004	0
09:49:26	34	study	13.1	18.3	41.594	0
09:50:30	35	study	13.8	18.3	25.503	0
09:51:25	36	study	13.6	18.4	41.505	0
09:52:32	37	study	14.1	18.5	52.503	0
09:53:25	38	study	13.6	18.4	37.002	0
09:54:02	39	study	13.5	18.3	21.005	0
09:54:49	40	study	13.4	18.4	32.506	0
09:56:27	41	study	13.5	18.4	29.002	0
09:57:29	42	study	13.7	18.4	47.003	0
09:58:10	43	study	13.7	18.4	26.083	0
09:59:03	44	study	13.4	18.4	39.001	0
09:59:50	45	study	13.5	18.4	32.503	0
10:00:56	46	study	13.7	18.4	51.003	0
10:02:08	47	study	13.9	18.4	23.001	0
10:03:43	48	study	13.5	18.4	58.501	0
10:04:21	49	study	13.9	18.4	22.501	0
10:05:39	50	study	14.1	18.4	64.002	0
