timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
11:16:58	1	living room	17.3	33.0	3.501	0.689
11:17:13	2	living room	22.1	33.0	5.003	0.0
11:17:27	3	living room	29.4	32.8	5.003	0.0
11:17:42	4	living room	29.9	33.4	5.001	0.0
11:17:57	5	living room	29.1	32.6	5.001	0.0
11:18:12	6	living room	19.6	32.6	5.064	0.0
11:18:26	7	living room	18.9	32.6	5.002	0.0
11:18:41	8	living room	19.2	32.6	5.013	0.0
11:18:55	9	living room	19.8	32.6	5.062	0.0
11:19:11	10	living room	20.0	32.6	5.501	0.0
11:19:25	11	living room	19.2	32.7	5.002	0.0
11:19:40	12	living room	18.9	32.6	5.003	0.0
11:19:54	13	living room	19.6	32.6	5.003	0.0
11:20:09	14	living room	19.8	32.6	5.065	0.0
11:20:24	15	living room	19.0	32.7	5.501	0.0
11:20:38	16	living room	19.3	32.5	5.001	0.0
11:20:53	17	living room	19.5	32.6	5.002	0.0
11:21:07	18	living room	19.3	32.6	5.003	0.0
11:21:22	19	living room	19.4	32.7	5.002	0.0
11:21:37	20	living room	20.5	32.7	5.502	0.0
11:21:51	21	living room	19.5	32.6	5.065	0.0
11:22:06	22	living room	19.4	32.6	5.005	0.0
11:22:21	23	living room	20.1	32.6	5.002	0.0
11:22:35	24	living room	19.6	32.6	5.001	0.0
11:22:50	25	living room	19.4	32.6	5.001	0.0
11:23:05	26	living room	18.6	32.7	5.502	0.0
11:23:19	27	living room	19.3	32.7	5.0	0.0
11:23:35	28	living room	19.3	32.7	5.502	0.0
11:23:50	29	living room	18.9	32.7	5.064	0.0
11:24:04	30	living room	20.6	32.6	5.005	0.0
11:24:19	31	living room	20.0	32.6	5.002	0.0
11:24:34	32	living room	25.1	32.6	5.002	0.0
11:24:48	33	living room	27.7	32.4	4.502	0.0
11:25:02	34	living room	28.2	32.4	5.0	0.0
11:25:17	35	living room	29.1	32.4	5.004	0.0
11:25:33	36	living room	28.5	32.4	5.503	0.0
11:25:47	37	living room	29.2	32.4	5.065	0.0
11:26:02	38	living room	28.6	32.4	4.576	0.0
11:26:16	39	living room	28.9	32.4	5.005	0.0
11:26:31	40	living room	28.4	32.1	5.006	0.0
11:26:45	41	living room	28.6	32.3	5.004	0.0
11:26:59	42	living room	29.1	32.1	4.504	0.0
11:27:14	43	living room	28.7	32.0	5.004	0.0
11:27:29	44	living room	29.1	32.0	5.505	0.0
11:27:45	45	living room	29.1	32.0	5.505	0.0
11:28:00	46	living room	29.2	32.0	5.026	0.0
11:28:15	47	living room	28.1	32.0	5.005	0.0
11:28:30	48	living room	29.0	32.0	5.507	0.0
11:28:44	49	living room	28.5	32.0	5.029	0.0
11:28:58	50	living room	28.1	32.0	4.564	0.0
