timestamp	event	cpu_%	ram_%	gpu_%	time_taken_sec	latency_sec	oneway_latency_sec	total_latency_sec
22:32:19	DETECTED_KITCHEN	10.2	32.8	38	0.0	1.023	0.0	0.0
22:32:43	REACHED_KITCHEN	9.5	32.9	38	21.688	1.023	1.123	22.712
22:32:55	DETECTED_HOME	9.9	32.9	40	0.0	0.457	0.0	0.0
22:33:22	REACHED_HOME	11.9	33.5	41	24.472	0.457	0.557	24.929
22:33:28	DETECTED_PREVIOUS	11.5	33.5	21	0.0	0.69	0.0	0.0
22:33:53	REACHED_KITCHEN	10.1	33.8	39	21.743	0.69	0.79	22.433
22:34:00	DETECTED_HOME	9.6	33.8	39	0.0	1.027	0.0	0.0
22:34:27	REACHED_HOME	10.3	32.9	37	23.932	1.027	1.127	24.959
22:34:46	DETECTED_LIVING ROOM	8.8	33.0	37	0.0	0.77	0.0	0.0
22:34:56	REACHED_LIVING ROOM	9.5	33.0	38	7.664	0.77	0.87	8.435
22:35:01	DETECTED_PREVIOUS	8.3	33.0	39	0.0	0.686	0.0	0.0
22:35:12	REACHED_HOME	9.1	33.0	41	8.032	0.686	0.786	8.717
22:35:25	DETECTED_KITCHEN	8.6	33.0	39	0.0	0.981	0.0	0.0
22:35:50	REACHED_KITCHEN	9.7	33.0	41	21.285	0.981	1.081	22.266
22:35:58	DETECTED_LIVING ROOM	8.4	33.1	39	0.0	0.917	0.0	0.0
22:36:20	REACHED_LIVING ROOM	10.3	33.0	38	18.647	0.917	1.017	19.564
22:36:27	DETECTED_PREVIOUS	10.5	33.0	41	0.0	0.792	0.0	0.0
22:36:45	REACHED_KITCHEN	12.3	32.9	42	15.275	0.792	0.892	16.067
22:36:52	DETECTED_KITCHEN	11.2	33.0	40	0.0	0.627	0.0	0.0
22:36:55	REACHED_KITCHEN	11.4	33.0	36	0.062	0.627	0.727	0.689
