timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
13:42:45	1	bedroom	21.4	41.1	15.5	0.939
13:43:36	2	bedroom	21.6	41.2	14.5	1.284
13:45:27	3	bedroom	22.3	41.2	14.5	2.117
13:46:22	4	bedroom	22.4	41.3	14.5	0.846
13:47:00	5	bedroom	21.6	41.3	16	3.492
13:48:50	6	bedroom	22.4	41.3	15	1.753
13:50:31	7	bedroom	22.2	41.3	15	4.681
13:51:20	8	bedroom	22.3	41.3	15	0.928
13:51:57	9	bedroom	20.8	41.3	15	2.874
13:52:37	10	bedroom	23.1	41.3	16	5.326
13:54:12	11	bedroom	21.5	41.4	16	0.714
13:55:15	12	bedroom	21.8	41.4	15.5	1.962
13:55:51	13	bedroom	22.7	41.4	15	6.148
13:57:15	14	bedroom	21.9	41.4	14.5	2.531
13:58:20	15	bedroom	22.3	41.4	16.5	13.948
13:58:57	16	bedroom	22.4	41.3	15	3.847
14:00:34	17	bedroom	21.8	41.3	7.5	1.284
14:01:37	18	bedroom	22.2	41.3	17	7.213
14:03:49	19	bedroom	21.4	41.4	15	2.744
14:04:30	20	bedroom	22.2	41.4	15	4.983
14:06:20	21	bedroom	21.5	41.5	15	1.856
14:07:22	22	bedroom	22.5	41.5	24	8.417
14:08:25	23	bedroom	22.2	41.5	16	3.165
14:09:09	24	bedroom	22.2	41.5	22.5	5.724
14:10:26	25	bedroom	22.2	41.5	31	1.093
14:11:11	26	bedroom	22.2	41.5	23.5	9.638
14:12:14	27	bedroom	22.4	41.5	15.5	2.481
14:14:45	28	bedroom	22.8	41.5	33.5	4.217
14:15:22	29	bedroom	22.6	41.4	16	10.274
14:15:59	30	bedroom	22.4	41.5	14.5	1.648
14:17:49	31	bedroom	22	41.4	14.5	3.792
14:19:39	32	bedroom	24.6	41.6	15.5	6.531
14:21:53	33	bedroom	26.7	41.7	15	2.237
14:22:29	34	bedroom	26.4	41.7	15.5	11.382
14:23:06	35	bedroom	26.5	41.7	15.5	0.671
14:24:57	36	bedroom	26.5	41.6	16	1.527
14:27:52	37	bedroom	26.9	41.6	8.5	12.146
14:28:37	38	bedroom	26.6	41.6	14.5	2.884
14:30:04	39	bedroom	26	41.6	14.5	5.063
14:31:55	40	bedroom	26.2	41.7	15	7.842
14:32:33	41	bedroom	26.5	41.7	15.5	1.934
14:33:29	42	bedroom	26.7	41.8	15.5	13.271
14:35:19	43	bedroom	26	41.7	14.5	2.645
14:37:38	44	bedroom	25.5	41.7	15.5	4.382
14:38:13	45	bedroom	22.4	41.4	14.5	0.968
14:40:10	46	bedroom	22.2	42.4	16	8.925
14:40:47	47	bedroom	19	42.1	14.5	3.418
14:42:14	48	bedroom	22.6	41.8	14.5	6.217
14:44:05	49	bedroom	24	41.6	16	2.103
14:46:17	50	bedroom	22.2	41.7	15	11.794
