timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
11:41:17	1	living room	24.3	41.6	4	0.687
11:41:31	2	living room	26.2	41.6	5	0.742
11:41:45	3	living room	27.5	41.7	5	0.815
11:41:59	4	living room	27	41.9	4.5	0.691
11:42:13	5	living room	24.3	41.7	5	0.928
11:42:27	6	living room	24.2	41.6	5	0.773
11:42:41	7	living room	25.7	41.6	5.5	0.654
11:42:55	8	living room	29	41.5	5	0.889
11:43:09	9	living room	27	41.2	4.5	0.712
11:43:22	10	living room	27.5	41.1	4.5	0.961
11:43:36	11	living room	27.6	40.7	5	0.638
11:43:51	12	living room	25.9	40.9	5	0.847
11:44:06	13	living room	28.1	40.7	5.5	0.726
11:44:20	14	living room	27.8	40.4	5	0.903
11:44:34	15	living room	26.7	40.4	5	0.781
11:44:48	16	living room	27.2	40.4	5	0.668
11:45:02	17	living room	26.7	40.3	5	0.954
11:45:16	18	living room	27.9	40.5	5	0.734
11:45:30	19	living room	26.4	40.5	5	0.821
11:45:44	20	living room	25	40.3	5	0.679
11:45:58	21	living room	24.9	40.4	5	0.986
11:46:12	22	living room	21.5	40.4	5	0.751
11:46:26	23	living room	21.1	40.4	5	0.864
11:46:40	24	living room	24.5	40.3	5	0.695
11:46:54	25	living room	22	40.4	5.5	0.917
11:47:08	26	living room	21.5	40.4	5	0.742
11:47:22	27	living room	21.1	40.5	5	0.803
11:47:36	28	living room	21.1	40.7	5	0.662
11:47:51	29	living room	22.2	40.5	5	0.975
11:48:05	30	living room	23.2	40.4	5	0.718
11:48:19	31	living room	21.1	40.4	5	0.856
11:48:33	32	living room	28.1	41	4.5	0.687
11:48:47	33	living room	25	40.6	5	0.931
11:49:00	34	living room	25.8	40.6	4	0.764
11:49:14	35	living room	25.8	40.6	5	0.824
11:49:28	36	living room	24.5	40.8	5	0.648
11:49:42	37	living room	24.3	40.6	4.5	0.992
11:49:56	38	living room	22.6	40.6	5	0.739
11:50:11	39	living room	21.6	40.9	5.5	0.878
11:50:25	40	living room	21.3	40.7	5	0.703
11:50:39	41	living room	21.6	40.6	5	0.945
11:50:53	42	living room	21	40.7	5	0.771
11:51:07	43	living room	21.3	40.7	5	0.812
11:51:22	44	living room	22.1	40.7	5.5	0.659
11:51:36	45	living room	21.8	40.7	5	0.983
11:51:50	46	living room	22	40.7	5	0.724
11:52:04	47	living room	22.2	40.7	5	0.891
11:52:18	48	living room	27	40.7	5	0.676
11:52:33	49	living room	25.3	40.7	5	0.938
11:52:47	50	living room	25	40.7	5	0.748
